,Market_Segment,Vertical_Market,Region,Net_Price,buys_both
14063,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.408124396,1
14064,PUBLIC SECTOR,Professional_Services,GEO_2,2.408124396,1
14065,SMB,Manufacturing,GEO_2,2.408124396,1
14066,COMMERCIAL,WholeSale-Distribution,GEO_2,2.408124396,1
14067,COMMERCIAL,Financial_Services,GEO_2,2.408124396,1
14068,COMMERCIAL,Professional_Services,GEO_2,2.408115165,1
14069,ENTERPRISE,Media-Entertainment,GEO_3,2.4080140205,0
14070,SMB,Retail,GEO_2,2.4077741305,1
14071,ENTERPRISE,Retail,GEO_3,2.4076415200000003,0
14072,COMMERCIAL,Financial_Services,GEO_2,2.406869954,0
14073,PUBLIC SECTOR,Government,GEO_2,2.406438119,0
14074,COMMERCIAL,Manufacturing,GEO_1,2.405972132,0
14075,SMB,Professional_Services,GEO_1,2.4058909240000004,1
14076,COMMERCIAL,Transportation,GEO_2,2.405382560666667,1
14077,COMMERCIAL,Financial_Services,GEO_2,2.4043253255,0
14078,COMMERCIAL,Energy_Utilities,GEO_2,2.403619877,1
14079,COMMERCIAL,Financial_Services,GEO_1,2.403587095,0
14080,PUBLIC SECTOR,Professional_Services,GEO_2,2.403533565,0
14081,SMB,Professional_Services,GEO_2,2.403533565,0
14082,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.402628907,0
14083,SMB,Professional_Services,GEO_2,2.402628907,0
14084,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.402628907,0
14085,COMMERCIAL,Retail,GEO_2,2.402628907,0
14086,PUBLIC SECTOR,Professional_Services,GEO_1,2.402095832,0
14087,SMB,Professional_Services,GEO_3,2.4017557725,0
14088,COMMERCIAL,Retail,GEO_1,2.401295142,0
14089,PUBLIC SECTOR,Government,GEO_1,2.400653443,0
14090,PUBLIC SECTOR,Government,GEO_2,2.40038619,0
14091,COMMERCIAL,Professional_Services,GEO_2,2.40038619,0
14092,COMMERCIAL,Professional_Services,GEO_3,2.400023401,0
14093,COMMERCIAL,Retail,GEO_2,2.399911821,0
14094,COMMERCIAL,Health_Care,GEO_2,2.3980685815,0
14095,COMMERCIAL,Professional_Services,GEO_2,2.397209038,0
14096,COMMERCIAL,Financial_Services,GEO_2,2.397209038,0
14097,PUBLIC SECTOR,Government,GEO_2,2.397107638,0
14098,COMMERCIAL,Media-Entertainment,GEO_2,2.397107638,0
14099,PUBLIC SECTOR,Government,GEO_2,2.397107638,0
14100,COMMERCIAL,Financial_Services,GEO_2,2.3965321245,1
14101,COMMERCIAL,Media-Entertainment,GEO_2,2.3965321245,1
14102,COMMERCIAL,Manufacturing,GEO_1,2.39613561,0
14103,PUBLIC SECTOR,Government,GEO_2,2.396027367,0
14104,COMMERCIAL,Government,GEO_1,2.395783423,0
14105,SMB,Service_Provider,GEO_2,2.3953819085,0
14106,ENTERPRISE,Professional_Services,GEO_2,2.395160349,0
14107,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.394456463,0
14108,COMMERCIAL,Energy_Utilities,GEO_1,2.394025397,0
14109,PUBLIC SECTOR,Government,GEO_2,2.3935624215,1
14110,SMB,Financial_Services,GEO_3,2.393051567,0
14111,SMB,Professional_Services,GEO_2,2.391953102,0
14112,SMB,Manufacturing,GEO_1,2.390739657,1
14113,SMB,Government,GEO_2,2.390679855,1
14114,ENTERPRISE,Financial_Services,GEO_1,2.390420078,1
14115,SERVICE PROVIDER,Manufacturing,GEO_3,2.388060935,0
14116,COMMERCIAL,Manufacturing,GEO_1,2.3870493572857145,0
14117,COMMERCIAL,Financial_Services,GEO_2,2.38701358,0
14118,SMB,Technical_Services,GEO_1,2.386434699,1
14119,COMMERCIAL,Financial_Services,GEO_1,2.386405989,0
14120,COMMERCIAL,Manufacturing,GEO_2,2.386074252,0
14121,ENTERPRISE,Technical_Services,GEO_3,2.3855911985000002,1
14122,ENTERPRISE,Professional_Services,GEO_2,2.3855128925,0
14123,PUBLIC SECTOR,Government,GEO_2,2.3854444295,1
14124,COMMERCIAL,Financial_Services,GEO_2,2.384911204,0
14125,SMB,Technical_Services,GEO_1,2.3836530735555552,1
14126,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.383633855,0
14127,COMMERCIAL,Financial_Services,GEO_3,2.383325888,0
14128,COMMERCIAL,Professional_Services,GEO_2,2.383188746,1
14129,COMMERCIAL,Manufacturing,GEO_2,2.3824507125,0
14130,COMMERCIAL,Financial_Services,GEO_3,2.38094899,0
14131,PUBLIC SECTOR,Government,GEO_2,2.3807392766666666,1
14132,ENTERPRISE,Professional_Services,GEO_3,2.3803587185,0
14133,COMMERCIAL,Financial_Services,GEO_1,2.3800376375,0
14134,PUBLIC SECTOR,Professional_Services,GEO_3,2.3798659300000002,0
14135,PUBLIC SECTOR,Financial_Services,GEO_3,2.379666372,0
14136,COMMERCIAL,Professional_Services,GEO_3,2.379345807,0
14137,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.3793104240000003,1
14138,ENTERPRISE,Financial_Services,GEO_3,2.379279476,0
14139,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.379035968,0
14140,SMB,Retail,GEO_2,2.378430776,0
14141,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.377980433,0
14142,COMMERCIAL,Media-Entertainment,GEO_1,2.377980433,0
14143,COMMERCIAL,Retail,GEO_2,2.3777720455,0
14144,ENTERPRISE,Financial_Services,GEO_2,2.3776899786666665,1
14145,ENTERPRISE,Professional_Services,GEO_2,2.37710057425,0
14146,COMMERCIAL,Government,GEO_2,2.376753257,0
14147,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.376569787,0
14148,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14149,PUBLIC SECTOR,Media-Entertainment,GEO_2,2.37656973,0
14150,SMB,Technical_Services,GEO_2,2.37656973,0
14151,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14152,PUBLIC SECTOR,Energy_Utilities,GEO_2,2.37656973,0
14153,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14154,COMMERCIAL,Manufacturing,GEO_2,2.37656973,0
14155,PUBLIC SECTOR,Government,GEO_2,2.37656973,0
14156,PUBLIC SECTOR,Government,GEO_2,2.37656973,0
14157,COMMERCIAL,Manufacturing,GEO_2,2.37656973,0
14158,SMB,Technical_Services,GEO_2,2.37656973,0
14159,PUBLIC SECTOR,Government,GEO_2,2.37656973,0
14160,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14161,SERVICE PROVIDER,Service_Provider,GEO_2,2.37656973,0
14162,PUBLIC SECTOR,Government,GEO_2,2.37656973,0
14163,PUBLIC SECTOR,Professional_Services,GEO_2,2.37656973,0
14164,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14165,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.37656973,0
14166,ENTERPRISE,Technical_Services,GEO_3,2.37645674,0
14167,SERVICE PROVIDER,Service_Provider,GEO_2,2.375947669,0
14168,SERVICE PROVIDER,Professional_Services,GEO_1,2.375947669,0
14169,PUBLIC SECTOR,Government,GEO_2,2.3755306495,1
14170,SMB,Financial_Services,GEO_1,2.375268615,0
14171,SMB,Retail,GEO_1,2.375154554,0
14172,PUBLIC SECTOR,Government,GEO_2,2.375154554,0
14173,SMB,Financial_Services,GEO_1,2.375154554,0
14174,COMMERCIAL,Manufacturing,GEO_1,2.375154554,0
14175,COMMERCIAL,Financial_Services,GEO_3,2.3751012673333336,0
14176,SMB,Manufacturing,GEO_2,2.3741890405,0
14177,ENTERPRISE,Media-Entertainment,GEO_1,2.374076029,0
14178,SMB,Professional_Services,GEO_1,2.373965996307692,1
14179,SERVICE PROVIDER,Service_Provider,GEO_2,2.373734875,0
14180,COMMERCIAL,Manufacturing,GEO_2,2.373325085,0
14181,SERVICE PROVIDER,WholeSale-Distribution,GEO_2,2.3728290335,1
14182,COMMERCIAL,Media-Entertainment,GEO_2,2.3723892905,0
14183,ENTERPRISE,Health_Care,GEO_2,2.372310552,0
14184,COMMERCIAL,Technical_Services,GEO_2,2.3718027362500003,0
14185,OTHER,Financial_Services,GEO_2,2.371167541,0
14186,PUBLIC SECTOR,Government,GEO_3,2.369552056,0
14187,COMMERCIAL,Professional_Services,GEO_3,2.3691908093333334,1
14188,COMMERCIAL,Professional_Services,GEO_2,2.369160687,0
14189,SMB,Manufacturing,GEO_3,2.3671870645,1
14190,SMB,Manufacturing,GEO_3,2.3671870645,1
14191,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.366944859,0
14192,COMMERCIAL,WholeSale-Distribution,GEO_2,2.3669320735,0
14193,COMMERCIAL,Financial_Services,GEO_3,2.3669178355,0
14194,COMMERCIAL,Professional_Services,GEO_1,2.3662149316666663,0
14195,COMMERCIAL,Professional_Services,GEO_2,2.3656266,0
14196,PUBLIC SECTOR,Education-Public_Private,GEO_1,2.365344971666667,0
14197,PUBLIC SECTOR,Health_Care,GEO_3,2.364312303166667,1
14198,COMMERCIAL,Manufacturing,GEO_3,2.363658557,0
14199,SMB,Manufacturing,GEO_3,2.362920264,1
14200,PUBLIC SECTOR,Government,GEO_3,2.3627712240000003,0
14201,PUBLIC SECTOR,Health_Care,GEO_1,2.3626058834999997,0
14202,ENTERPRISE,Professional_Services,GEO_1,2.3625661803333333,1
14203,COMMERCIAL,Professional_Services,GEO_2,2.3623491835,1
14204,COMMERCIAL,Health_Care,GEO_1,2.3620671305,0
14205,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.3617909455,1
14206,COMMERCIAL,Professional_Services,GEO_2,2.3614299945,0
14207,ENTERPRISE,Technical_Services,GEO_3,2.3603235205,0
14208,ENTERPRISE,Manufacturing,GEO_1,2.360163682,0
14209,ENTERPRISE,Transportation,GEO_1,2.358809744,0
14210,SMB,Hospitality-Hotels_Leisure,GEO_1,2.3582958966666667,1
14211,ENTERPRISE,Energy_Utilities,GEO_2,2.3581290555,0
14212,COMMERCIAL,Health_Care,GEO_2,2.357940414,0
14213,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.357940414,0
14214,PUBLIC SECTOR,Government,GEO_2,2.357926206,0
14215,COMMERCIAL,Retail,GEO_3,2.357926206,0
14216,SMB,Government,GEO_3,2.3576377115,1
14217,SMB,Financial_Services,GEO_3,2.357100143,0
14218,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.356686294,0
14219,SMB,Education-Public_Private,GEO_1,2.356509006,1
14220,COMMERCIAL,Financial_Services,GEO_1,2.356231901,0
14221,ENTERPRISE,Financial_Services,GEO_1,2.3560879745,0
14222,PUBLIC SECTOR,Professional_Services,GEO_1,2.353184785,0
14223,COMMERCIAL,Health_Care,GEO_2,2.35300807,0
14224,COMMERCIAL,Financial_Services,GEO_1,2.351990675,0
14225,PUBLIC SECTOR,WholeSale-Distribution,GEO_3,2.3517423429999997,0
14226,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.3515917995,0
14227,SMB,WholeSale-Distribution,GEO_2,2.349052845,0
14228,ENTERPRISE,Financial_Services,GEO_1,2.3488464533999998,1
14229,PUBLIC SECTOR,Retail,GEO_1,2.348450937,0
14230,SERVICE PROVIDER,Service_Provider,GEO_1,2.3477345659999997,0
14231,SERVICE PROVIDER,Service_Provider,GEO_1,2.347731259,1
14232,SMB,Manufacturing,GEO_2,2.347667087,0
14233,ENTERPRISE,Manufacturing,GEO_2,2.3473139695,0
14234,SMB,Professional_Services,GEO_1,2.347282882,0
14235,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.347050411,0
14236,PUBLIC SECTOR,Government,GEO_2,2.346954561,1
14237,ENTERPRISE,Professional_Services,GEO_3,2.346727963,0
14238,COMMERCIAL,Hospitality-Hotels_Leisure,GEO_1,2.346458531,0
14239,PUBLIC SECTOR,Professional_Services,GEO_2,2.346458531,0
14240,PUBLIC SECTOR,Financial_Services,GEO_2,2.346458531,0
14241,ENTERPRISE,Retail,GEO_1,2.346458531,0
14242,SERVICE PROVIDER,Financial_Services,GEO_1,2.346458531,0
14243,PUBLIC SECTOR,Government,GEO_2,2.346458531,0
14244,SERVICE PROVIDER,Energy_Utilities,GEO_1,2.346458531,0
14245,PUBLIC SECTOR,Government,GEO_2,2.34629230275,0
14246,COMMERCIAL,Professional_Services,GEO_2,2.344394534,0
14247,SMB,Financial_Services,GEO_3,2.3443500559999997,1
14248,PUBLIC SECTOR,Government,GEO_2,2.343970593,0
14249,SMB,Manufacturing,GEO_2,2.342995933,0
14250,ENTERPRISE,Financial_Services,GEO_2,2.342568754,0
14251,ENTERPRISE,Government,GEO_1,2.3406037411111114,1
14252,SMB,Financial_Services,GEO_3,2.340498661333333,1
14253,OTHER,Government,GEO_2,2.339628196,1
14254,COMMERCIAL,Manufacturing,GEO_1,2.3380013726666666,0
14255,SMB,WholeSale-Distribution,GEO_2,2.3360123212,1
14256,COMMERCIAL,Service_Provider,GEO_2,2.3358899015,1
14257,ENTERPRISE,Financial_Services,GEO_1,2.3355999925999997,1
14258,SMB,Manufacturing,GEO_1,2.334250782,1
14259,SMB,Technical_Services,GEO_1,2.334250782,1
14260,ENTERPRISE,Financial_Services,GEO_3,2.333813938,0
14261,COMMERCIAL,Manufacturing,GEO_1,2.333813938,0
14262,PUBLIC SECTOR,Government,GEO_1,2.333564727,0
14263,SMB,Technical_Services,GEO_1,2.333564727,1
14264,ENTERPRISE,Retail,GEO_2,2.333190802,0
14265,COMMERCIAL,Energy_Utilities,GEO_2,2.3325860565000003,1
14266,COMMERCIAL,Transportation,GEO_1,2.332129447,0
14267,PUBLIC SECTOR,Professional_Services,GEO_3,2.3319625735000002,0
14268,COMMERCIAL,Transportation,GEO_2,2.331691613,0
14269,PUBLIC SECTOR,Government,GEO_2,2.3316288895,1
14270,COMMERCIAL,Professional_Services,GEO_1,2.3310133202,1
14271,ENTERPRISE,Retail,GEO_3,2.330438503,0
14272,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.32965624875,0
14273,PUBLIC SECTOR,Government,GEO_2,2.3284596935,0
14274,COMMERCIAL,Manufacturing,GEO_2,2.3284241165,0
14275,COMMERCIAL,WholeSale-Distribution,GEO_1,2.3274432325,1
14276,COMMERCIAL,Transportation,GEO_2,2.327289854,0
14277,SERVICE PROVIDER,Media-Entertainment,GEO_1,2.326138933,1
14278,SMB,Manufacturing,GEO_1,2.325968847714286,1
14279,SMB,Technical_Services,GEO_1,2.325326392,0
14280,COMMERCIAL,Retail,GEO_3,2.325199481,0
14281,SMB,Professional_Services,GEO_1,2.3248072013333334,1
14282,SMB,Health_Care,GEO_2,2.324563929,0
14283,COMMERCIAL,Financial_Services,GEO_1,2.324323827,0
14284,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.324144117,0
14285,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.324118587,0
14286,ENTERPRISE,Government,GEO_1,2.323609201,0
14287,SERVICE PROVIDER,Service_Provider,GEO_2,2.3213741740000002,0
14288,ENTERPRISE,Professional_Services,GEO_1,2.321311508,0
14289,COMMERCIAL,Professional_Services,GEO_2,2.321308262666667,1
14290,COMMERCIAL,Manufacturing,GEO_3,2.321140711,0
14291,COMMERCIAL,Technical_Services,GEO_3,2.320218747,0
14292,SMB,Hospitality-Hotels_Leisure,GEO_3,2.3190185955000002,1
14293,PUBLIC SECTOR,Health_Care,GEO_2,2.3181457974999997,0
14294,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.318029822,0
14295,SMB,Financial_Services,GEO_2,2.3172415060000002,1
14296,SMB,Retail,GEO_1,2.317099284,1
14297,PUBLIC SECTOR,Professional_Services,GEO_2,2.316413529,1
14298,ENTERPRISE,Transportation,GEO_2,2.315944791,1
14299,COMMERCIAL,Manufacturing,GEO_2,2.3158821335,1
14300,ENTERPRISE,Financial_Services,GEO_1,2.314883557,0
14301,COMMERCIAL,Professional_Services,GEO_1,2.314606548,0
14302,COMMERCIAL,Financial_Services,GEO_2,2.3136846255,0
14303,SERVICE PROVIDER,Technical_Services,GEO_2,2.312510029,1
14304,COMMERCIAL,Professional_Services,GEO_1,2.312444546,0
14305,COMMERCIAL,Professional_Services,GEO_2,2.3121435569999997,0
14306,SMB,Professional_Services,GEO_2,2.311201137,0
14307,PUBLIC SECTOR,Government,GEO_3,2.3111754565,1
14308,COMMERCIAL,Professional_Services,GEO_2,2.3101612695,0
14309,PUBLIC SECTOR,Government,GEO_2,2.30982669,0
14310,SMB,Professional_Services,GEO_2,2.3092642735,0
14311,COMMERCIAL,Financial_Services,GEO_1,2.308994128,1
14312,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.308632117666667,0
14313,PUBLIC SECTOR,Government,GEO_1,2.308043883,0
14314,PUBLIC SECTOR,Energy_Utilities,GEO_3,2.3080214584,1
14315,ENTERPRISE,Government,GEO_3,2.3075950069999998,0
14316,COMMERCIAL,Manufacturing,GEO_2,2.307447989,0
14317,PUBLIC SECTOR,Education-Public_Private,GEO_2,2.3074312150000003,1
14318,SERVICE PROVIDER,Service_Provider,GEO_2,2.306854071,0
14319,COMMERCIAL,Manufacturing,GEO_2,2.306207918,0
14320,PUBLIC SECTOR,Government,GEO_3,2.305262455,0
14321,COMMERCIAL,Energy_Utilities,GEO_3,2.3039959683333335,0
14322,COMMERCIAL,Retail,GEO_3,2.303302746,1
14323,COMMERCIAL,Financial_Services,GEO_2,2.303217575,0
14324,COMMERCIAL,Financial_Services,GEO_3,2.303131543,0
14325,COMMERCIAL,Transportation,GEO_2,2.300320605,1
14326,ENTERPRISE,Professional_Services,GEO_3,2.3001424385,0
14327,SMB,WholeSale-Distribution,GEO_3,2.2998456825,1
14328,PUBLIC SECTOR,Government,GEO_2,2.299055555,0
14329,COMMERCIAL,Manufacturing,GEO_1,2.2990495060000002,0
14330,PUBLIC SECTOR,Government,GEO_2,2.298973762,0
14331,PUBLIC SECTOR,Government,GEO_2,2.296340683,0
14332,COMMERCIAL,Manufacturing,GEO_2,2.2960144634999997,0
14333,COMMERCIAL,Retail,GEO_2,2.2948630359999997,0
